Numero,Nombre,Frecuencia,DeCadaMil
1,ANTONIO,640.854,"27,6"
2,MANUEL,562.798,"24,2"
3,JOSE,547.142,"23,6"
4,FRANCISCO,467.933,"20,1"
5,DAVID,369.633,"15,9"
6,JUAN,325.791,14
7,JAVIER,308.465,"13,3"
8,JOSE ANTONIO,303.446,"13,1"
9,DANIEL,302.864,13
10,FRANCISCO JAVIER,285.853,"12,3"
11,JOSE LUIS,285.096,"12,3"
12,CARLOS,276.918,"11,9"
13,JESUS,268.791,"11,6"
14,ALEJANDRO,265.562,"11,4"
15,MIGUEL,240.406,"10,4"
16,JOSE MANUEL,239.213,"10,3"
17,RAFAEL,228.320,"9,8"
18,MIGUEL ANGEL,227.786,"9,8"
19,PABLO,222.590,"9,6"
20,PEDRO,214.374,"9,2"
21,ANGEL,213.042,"9,2"
22,SERGIO,209.093,9
23,JOSE MARIA,199.992,"8,6"
24,FERNANDO,199.161,"8,6"
25,JORGE,193.890,"8,3"
26,LUIS,185.340,8
27,ALBERTO,179.233,"7,7"
28,ALVARO,164.351,"7,1"
29,JUAN CARLOS,160.704,"6,9"
30,ADRIAN,158.783,"6,8"
31,DIEGO,154.834,"6,7"
32,JUAN JOSE,151.376,"6,5"
33,RAUL,141.433,"6,1"
34,IVAN,136.071,"5,9"
35,JUAN ANTONIO,131.286,"5,7"
36,RUBEN,129.725,"5,6"
37,ENRIQUE,124.830,"5,4"
38,OSCAR,123.308,"5,3"
39,RAMON,115.941,5
40,ANDRES,113.392,"4,9"
41,JUAN MANUEL,112.411,"4,8"
42,VICENTE,111.719,"4,8"
43,SANTIAGO,109.248,"4,7"
44,JOAQUIN,107.272,"4,6"
45,MARIO,107.100,"4,6"
46,VICTOR,106.304,"4,6"
47,EDUARDO,104.224,"4,5"
48,ROBERTO,97.787,"4,2"
49,JAIME,95.959,"4,1"
50,FRANCISCO JOSE,95.334,"4,1"
51,MARCOS,95.305,"4,1"
52,HUGO,89.378,"3,8"
53,IGNACIO,89.371,"3,8"
54,JORDI,82.593,"3,6"
55,ALFONSO,81.604,"3,5"
56,RICARDO,79.473,"3,4"
57,SALVADOR,77.610,"3,3"
58,GUILLERMO,72.973,"3,1"
59,MARC,72.286,"3,1"
60,GABRIEL,72.244,"3,1"
61,MOHAMED,71.073,"3,1"
62,EMILIO,69.152,3
63,GONZALO,68.478,"2,9"
64,MARTIN,67.731,"2,9"
65,JOSE MIGUEL,64.833,"2,8"
66,JULIO,64.508,"2,8"
67,JULIAN,63.670,"2,7"
68,TOMAS,62.310,"2,7"
69,NICOLAS,60.075,"2,6"
70,AGUSTIN,59.954,"2,6"
71,JOSE RAMON,57.349,"2,5"
72,SAMUEL,56.989,"2,5"
73,ISMAEL,56.270,"2,4"
74,CRISTIAN,55.280,"2,4"
75,LUCAS,55.154,"2,4"
76,JOAN,54.728,"2,4"
77,FELIX,52.968,"2,3"
78,AITOR,52.249,"2,2"
79,HECTOR,50.149,"2,2"
80,IKER,47.652,"2,1"
81,ALEX,47.346,2
82,JUAN FRANCISCO,46.925,2
83,JOSE CARLOS,44.970,"1,9"
84,JOSEP,43.638,"1,9"
85,SEBASTIAN,43.294,"1,9"
86,CESAR,42.872,"1,8"
87,MARIANO,42.281,"1,8"
88,ALFREDO,41.924,"1,8"
89,DOMINGO,41.361,"1,8"
90,MATEO,41.251,"1,8"
91,JOSE ANGEL,40.821,"1,8"
92,RODRIGO,40.339,"1,7"
93,VICTOR MANUEL,39.705,"1,7"
94,FELIPE,39.265,"1,7"
95,JOSE IGNACIO,39.230,"1,7"
96,LUIS MIGUEL,37.257,"1,6"
97,JOSE FRANCISCO,34.395,"1,5"
98,XAVIER,34.026,"1,5"
99,JUAN LUIS,33.878,"1,5"
100,ALBERT,33.832,"1,5"
101,LEONARDO,32.584,"1,2"
